"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",120,258,0.537712895377129,0.0535279805352798
"2",93,330,0.442822384428224,0.1338199513382
"3",289,274,0.279805352798054,0.817518248175182
"4",213,270,0.4330900243309,0.165450121654501
"5",272,366,0.435523114355231,0.686131386861314
"6",378,1,0.537712895377129,0.0827250608272506
"7",115,103,0.467153284671533,0.121654501216545
"8",314,141,0.328467153284672,0.746958637469586
"9",329,389,0.596107055961071,0.0316301703163017
"10",105,247,0.435523114355231,0.16301703163017
"11",249,1,0.537712895377129,0.0827250608272506
"12",153,67,0.228710462287105,0.897810218978102
"13",276,117,0.197080291970803,0.975669099756691
"14",276,70,0.355231143552311,0.708029197080292
"15",132,96,0.437956204379562,0.700729927007299
"16",371,6,0.245742092457421,0.873479318734793
"17",82,391,0.464720194647202,0.143552311435523
"18",19,311,0.355231143552311,0.75669099756691
"19",206,267,0.467153284671533,0.131386861313869
"20",57,387,0.394160583941606,0.690997566909976
"21",39,142,0.535279805352798,0.0632603406326034
"22",227,352,0.571776155717762,0.0608272506082725
"23",298,46,0.493917274939173,0.119221411192214
"24",57,113,0.364963503649635,0.722627737226277
"25",92,307,0.4330900243309,0.167883211678832
"26",282,167,0.362530413625304,0.75669099756691
"27",32,343,0.184914841849148,0.951338199513382
"28",246,290,0.311435523114355,0.81021897810219
"29",259,80,0.440389294403893,0.172749391727494
"30",20,259,0.666666666666667,0.180048661800487
"31",132,216,0.306569343065693,0.798053527980535
"32",98,250,0.211678832116788,0.931873479318735
"33",152,141,0.328467153284672,0.746958637469586
"34",61,267,0.467153284671533,0.131386861313869
"35",385,246,0.635036496350365,0.0267639902676399
"36",88,230,0.238442822384428,0.875912408759124
"37",299,165,0.635036496350365,0.0267639902676399
"38",257,381,0.194647201946472,0.970802919708029
"39",286,68,0.496350364963504,0.114355231143552
"40",398,43,0.489051094890511,0.114355231143552
"41",193,297,0.206812652068127,1
"42",155,49,0.489051094890511,0.143552311435523
"43",112,33,0.647201946472019,0.0170316301703163
"44",91,386,0.328467153284672,0.761557177615572
"45",18,27,0.289537712895377,0.805352798053528
"46",31,204,0.274939172749392,0.832116788321168
"47",162,139,0.527980535279805,0.097323600973236
"48",150,314,0.284671532846715,0.871046228710462
"49",106,369,0.688564476885645,0.0048661800486618
"50",139,407,0.37956204379562,0.710462287104623
"51",190,147,0.605839416058394,0.0291970802919708
"52",352,335,0.518248175182482,0.10705596107056
"53",192,81,0.639902676399027,0.0267639902676399
"54",288,381,0.194647201946472,0.970802919708029
"55",225,188,0.37956204379562,0.715328467153285
"56",410,86,0.686131386861314,0.0024330900243309
"57",187,373,0.401459854014599,0.158150851581509
"58",120,167,0.362530413625304,0.75669099756691
"59",71,160,0.240875912408759,0.854014598540146
"60",61,253,0.199513381995134,0.924574209245742
"61",200,214,0.35036496350365,0.749391727493917
"62",101,212,0.306569343065693,0.776155717761557
"63",115,193,0.418491484184915,0.659367396593674
"64",54,91,0.669099756690998,0.0194647201946472
"65",300,241,0.564476885644769,0.0656934306569343
"66",129,322,0.416058394160584,0.717761557177616
"67",384,206,0.469586374695864,0.138686131386861
"68",397,366,0.435523114355231,0.686131386861314
"69",306,181,0.481751824817518,0.124087591240876
"70",199,383,0.231143552311436,0.978102189781022
"71",58,164,0.21654501216545,0.941605839416058
"72",83,294,0.197080291970803,1
"73",1,324,0.469586374695864,0.13625304136253
"74",408,326,0.420924574209246,0.150851581508516
"75",265,387,0.394160583941606,0.690997566909976
"76",137,404,0.209245742092457,0.912408759124088
"77",233,213,0.294403892944039,0.807785888077859
"78",335,46,0.493917274939173,0.119221411192214
"79",15,292,0.245742092457421,0.895377128953771
"80",295,102,0.666666666666667,0.0170316301703163
"81",217,29,0.35036496350365,0.751824817518248
"82",50,280,0.192214111922141,0.936739659367397
"83",208,327,0.425790754257908,0.177615571776156
"84",89,329,0.362530413625304,0.746958637469586
"85",150,39,0.437956204379562,0.170316301703163
"86",144,365,0.40632603406326,0.160583941605839
"87",104,188,0.37956204379562,0.715328467153285
"88",362,291,0.481751824817518,0.114355231143552
"89",164,304,0.549878345498783,0.0924574209245742
"90",347,290,0.311435523114355,0.81021897810219
"91",133,89,0.610705596107056,0.0316301703163017
"92",305,144,0.262773722627737,0.851581508515815
"93",382,347,0.214111922141119,0.929440389294404
"94",45,343,0.184914841849148,0.951338199513382
"95",190,7,0.54014598540146,0.0778588807785888
"96",240,126,0.4330900243309,0.143552311435523
"97",259,395,0.245742092457421,0.834549878345499
"98",41,24,0.338199513381995,0.75669099756691
"99",168,272,0.447688564476886,0.126520681265207
