"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",7,75,0.469586374695864,0.192214111922141
"2",120,102,0.236009732360097,0.956204379562044
"3",18,380,0.386861313868613,0.754257907542579
"4",352,313,0.352798053527981,0.776155717761557
"5",13,86,0.197080291970803,0.975669099756691
"6",29,239,0.598540145985402,0.0535279805352798
"7",74,128,0.204379562043796,0.97323600973236
"8",132,134,0.201946472019465,0.936739659367397
"9",397,298,0.399026763990268,0.732360097323601
"10",166,101,0.177615571776156,1
"11",188,225,0.510948905109489,0.0997566909975669
"12",350,30,0.45985401459854,0.664233576642336
"13",75,340,0.211678832116788,0.965936739659367
"14",313,25,0.525547445255474,0.0681265206812652
"15",103,63,0.554744525547445,0.0802919708029197
"16",196,186,0.503649635036496,0.10705596107056
"17",346,178,0.372262773722628,0.795620437956204
"18",281,185,0.328467153284672,0.839416058394161
"19",120,15,0.661800486618005,0.0097323600973236
"20",95,213,0.338199513381995,0.824817518248175
"21",104,214,0.525547445255474,0.170316301703163
"22",14,80,0.223844282238443,0.958637469586375
"23",206,117,0.211678832116788,0.961070559610706
"24",101,29,0.559610705596107,0.0827250608272506
"25",173,287,0.481751824817518,0.67639902676399
"26",217,177,0.45985401459854,0.700729927007299
"27",223,185,0.328467153284672,0.839416058394161
"28",243,117,0.211678832116788,0.961070559610706
"29",387,325,0.625304136253041,0.0316301703163017
"30",355,391,0.615571776155718,0.0218978102189781
"31",289,8,0.411192214111922,0.710462287104623
"32",155,221,0.364963503649635,0.749391727493917
"33",218,72,0.669099756690998,0.0072992700729927
"34",267,53,0.591240875912409,0.0656934306569343
"35",101,278,0.64963503649635,0.0072992700729927
"36",260,345,0.666666666666667,0.0024330900243309
"37",376,148,0.562043795620438,0.0827250608272506
"38",225,263,0.523114355231144,0.13625304136253
"39",130,384,0.238442822384428,0.924574209245742
"40",134,382,0.408759124087591,0.744525547445255
"41",256,321,0.469586374695864,0.686131386861314
"42",3,299,0.481751824817518,0.10705596107056
"43",86,4,0.420924574209246,0.715328467153285
"44",44,399,0.428223844282238,0.720194647201946
"45",97,303,0.233576642335766,0.924574209245742
"46",236,399,0.428223844282238,0.720194647201946
"47",82,7,0.62287104622871,0.0218978102189781
"48",37,133,0.389294403892944,0.739659367396594
"49",257,77,0.437956204379562,0.688564476885645
"50",189,102,0.236009732360097,0.956204379562044
"51",120,236,0.671532846715328,0.0024330900243309
"52",403,141,0.445255474452555,0.67639902676399
"53",397,355,0.547445255474453,0.0827250608272506
"54",407,240,0.282238442822384,0.907542579075426
