"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",175,374,0.304136253041363,0.948905109489051
"2",85,79,0.72992700729927,0.0340632603406326
"3",45,53,0.554744525547445,0.180048661800487
"4",33,391,0.656934306569343,0.102189781021898
"5",138,190,0.59367396593674,0.10705596107056
"6",318,310,0.367396593673966,0.895377128953771
"7",113,379,0.396593673965937,0.815085158150852
"8",192,70,0.32360097323601,0.941605839416058
"9",279,82,0.306569343065693,0.939172749391727
"10",172,140,0.418491484184915,0.858880778588808
"11",272,52,0.554744525547445,0.206812652068127
"12",102,301,0.29683698296837,0.953771289537713
"13",63,62,0.739659367396594,0.0608272506082725
"14",138,238,0.671532846715328,0.0535279805352798
"15",110,329,0.498783454987835,0.265206812652068
"16",403,133,0.746958637469586,0.0145985401459854
"17",328,309,0.751824817518248,0.0097323600973236
"18",245,281,0.515815085158151,0.172749391727494
"19",342,335,0.664233576642336,0.111922141119221
"20",108,269,0.37956204379562,0.885644768856448
"21",223,139,0.678832116788321,0.0778588807785888
"22",340,73,0.304136253041363,0.965936739659367
"23",196,334,0.70316301703163,0.0267639902676399
"24",137,217,0.523114355231144,0.218978102189781
"25",312,162,0.615571776155718,0.0900243309002433
"26",324,408,0.596107055961071,0.131386861313869
"27",93,340,0.469586374695864,0.805352798053528
"28",56,133,0.746958637469586,0.0145985401459854
"29",121,160,0.525547445255474,0.776155717761557
"30",12,123,0.474452554744526,0.822384428223844
"31",134,127,0.27007299270073,0.980535279805353
"32",72,193,0.403892944038929,0.763990267639903
"33",186,197,0.722627737226277,0.0364963503649635
"34",275,3,0.450121654501217,0.817518248175182
"35",291,167,0.474452554744526,0.226277372262774
"36",50,336,0.608272506082725,0.16301703163017
"37",219,283,0.708029197080292,0.0559610705596107
"38",117,250,0.240875912408759,0.970802919708029
"39",168,80,0.472019464720195,0.228710462287105
"40",307,303,0.367396593673966,0.878345498783455
"41",29,39,0.481751824817518,0.206812652068127
"42",297,238,0.671532846715328,0.0535279805352798
"43",234,112,0.260340632603406,0.86374695863747
"44",92,392,0.481751824817518,0.218978102189781
"45",364,208,0.450121654501217,0.211678832116788
"46",168,306,0.343065693430657,0.885644768856448
"47",151,225,0.610705596107056,0.121654501216545
"48",227,50,0.722627737226277,0.0291970802919708
"49",165,33,0.586374695863747,0.214111922141119
"50",134,366,0.389294403892944,0.832116788321168
"51",359,156,0.493917274939173,0.199513381995134
