"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",88,231,0.318734793187348,0.844282238442822
"2",8,216,0.67639902676399,0.0316301703163017
"3",281,352,0.535279805352798,0.116788321167883
"4",146,391,0.326034063260341,0.824817518248175
"5",32,77,0.583941605839416,0.0681265206812652
"6",56,330,0.411192214111922,0.751824817518248
"7",226,228,0.425790754257908,0.717761557177616
"8",333,333,0.420924574209246,0.194647201946472
"9",388,334,0.583941605839416,0.0875912408759124
"10",93,326,0.384428223844282,0.785888077858881
"11",320,198,0.581508515815085,0.048661800486618
"12",209,368,0.403892944038929,0.727493917274939
"13",269,183,0.396593673965937,0.746958637469586
"14",308,228,0.425790754257908,0.717761557177616
"15",310,358,0.399026763990268,0.734793187347932
"16",22,261,0.54014598540146,0.119221411192214
"17",40,198,0.581508515815085,0.048661800486618
"18",280,55,0.394160583941606,0.800486618004866
"19",256,205,0.615571776155718,0.0413625304136253
"20",278,90,0.472019464720195,0.172749391727494
"21",161,17,0.462287104622871,0.172749391727494
"22",24,212,0.347931873479319,0.800486618004866
"23",357,146,0.420924574209246,0.717761557177616
"24",173,59,0.491484184914842,0.150851581508516
"25",43,124,0.282238442822384,0.931873479318735
"26",54,404,0.211678832116788,0.987834549878346
"27",406,275,0.481751824817518,0.158150851581509
"28",102,15,0.54014598540146,0.128953771289538
"29",355,253,0.318734793187348,0.812652068126521
"30",243,38,0.445255474452555,0.199513381995134
"31",134,405,0.257907542579075,0.961070559610706
"32",245,167,0.333333333333333,0.785888077858881
"33",198,281,0.311435523114355,0.878345498783455
"34",121,82,0.503649635036496,0.175182481751825
"35",299,308,0.326034063260341,0.815085158150852
"36",379,335,0.420924574209246,0.746958637469586
"37",108,335,0.420924574209246,0.746958637469586
"38",408,395,0.503649635036496,0.145985401459854
"39",145,309,0.552311435523114,0.0778588807785888
"40",335,261,0.54014598540146,0.119221411192214
"41",37,48,0.698296836982968,0.0121654501216545
"42",132,364,0.70316301703163,0.0145985401459854
"43",247,378,0.527980535279805,0.121654501216545
"44",367,234,0.231143552311436,0.985401459854015
"45",318,92,0.484184914841849,0.160583941605839
"46",247,253,0.318734793187348,0.812652068126521
"47",85,276,0.367396593673966,0.761557177615572
"48",236,317,0.637469586374696,0.0364963503649635
"49",22,267,0.630170316301703,0.0437956204379562
"50",205,156,0.301703163017032,0.914841849148418
"51",145,61,0.369829683698297,0.766423357664234
"52",137,257,0.352798053527981,0.781021897810219
"53",270,300,0.501216545012166,0.124087591240876
"54",405,175,0.501216545012166,0.128953771289538
"55",132,403,0.579075425790754,0.0778588807785888
"56",60,323,0.299270072992701,0.888077858880779
"57",133,200,0.515815085158151,0.13625304136253
"58",68,260,0.333333333333333,0.81021897810219
"59",252,302,0.394160583941606,0.187347931873479
"60",1,355,0.306569343065693,0.827250608272506
"61",76,280,0.316301703163017,0.834549878345499
"62",254,238,0.532846715328467,0.121654501216545
"63",94,371,0.467153284671533,0.177615571776156
"64",269,347,0.221411192214112,0.987834549878346
"65",191,182,0.326034063260341,0.819951338199513
"66",369,286,0.304136253041363,0.851581508515815
"67",183,368,0.403892944038929,0.727493917274939
"68",93,182,0.326034063260341,0.819951338199513
"69",176,303,0.255474452554745,0.97323600973236
"70",111,196,0.289537712895377,1
"71",279,236,0.428223844282238,0.192214111922141
"72",52,402,0.311435523114355,0.849148418491484
"73",102,81,0.481751824817518,0.155717761557178
"74",391,300,0.501216545012166,0.124087591240876
"75",140,149,0.62287104622871,0.0462287104622871
"76",338,10,0.493917274939173,0.121654501216545
"77",127,61,0.369829683698297,0.766423357664234
"78",171,3,0.345498783454988,0.822384428223844
"79",399,216,0.67639902676399,0.0316301703163017
"80",229,314,0.484184914841849,0.167883211678832
"81",365,137,0.274939172749392,0.907542579075426
"82",107,11,0.394160583941606,0.749391727493917
"83",233,9,0.274939172749392,0.885644768856448
"84",281,73,0.27007299270073,0.953771289537713
"85",315,324,0.652068126520681,0.024330900243309
"86",81,48,0.698296836982968,0.0121654501216545
"87",378,226,0.206812652068127,0.985401459854015
"88",64,279,0.245742092457421,0.963503649635037
"89",222,87,0.681265206812652,0.0389294403892944
"90",215,295,0.452554744525547,0.194647201946472
"91",53,177,0.299270072992701,0.844282238442822
"92",327,230,0.274939172749392,0.965936739659367
"93",181,118,0.64963503649635,0.024330900243309
"94",171,239,0.552311435523114,0.0754257907542579
"95",106,147,0.454987834549878,0.155717761557178
"96",238,243,0.712895377128954,0.0145985401459854
"97",221,54,0.515815085158151,0.1338199513382
"98",376,341,0.425790754257908,0.182481751824818
"99",163,133,0.360097323600973,0.785888077858881
"100",70,89,0.396593673965937,0.744525547445255
"101",32,257,0.352798053527981,0.781021897810219
"102",220,95,0.355231143552311,0.785888077858881
"103",109,333,0.420924574209246,0.194647201946472
"104",405,222,0.231143552311436,0.987834549878346
"105",255,87,0.681265206812652,0.0389294403892944
"106",253,306,0.343065693430657,0.802919708029197
"107",48,377,0.340632603406326,0.766423357664234
"108",297,266,0.647201946472019,0.0218978102189781
"109",196,342,0.238442822384428,0.965936739659367
"110",399,361,0.384428223844282,0.761557177615572
"111",398,31,0.725060827250608,0.0024330900243309
"112",386,66,0.347931873479319,0.744525547445255
"113",126,59,0.491484184914842,0.150851581508516
"114",139,261,0.54014598540146,0.119221411192214
"115",17,183,0.396593673965937,0.746958637469586
"116",360,125,0.306569343065693,0.878345498783455
"117",365,283,0.51338199513382,0.153284671532847
"118",202,274,0.335766423357664,0.805352798053528
"119",149,118,0.64963503649635,0.024330900243309
"120",168,29,0.357664233576642,0.754257907542579
"121",216,228,0.425790754257908,0.717761557177616
"122",223,3,0.345498783454988,0.822384428223844
"123",93,198,0.581508515815085,0.048661800486618
"124",84,356,0.37956204379562,0.771289537712895
"125",148,12,0.523114355231144,0.111922141119221
"126",290,39,0.248175182481752,0.97323600973236
"127",265,352,0.535279805352798,0.116788321167883
"128",56,213,0.248175182481752,0.980535279805353
"129",252,215,0.644768856447689,0.0364963503649635
"130",280,341,0.425790754257908,0.182481751824818
"131",261,348,0.637469586374696,0.0413625304136253
"132",20,314,0.484184914841849,0.167883211678832
"133",351,6,0.289537712895377,0.902676399026764
"134",188,263,0.284671532846715,0.86374695863747
"135",342,6,0.289537712895377,0.902676399026764
"136",243,309,0.552311435523114,0.0778588807785888
"137",184,401,0.576642335766423,0.048661800486618
"138",73,112,0.255474452554745,0.965936739659367
"139",312,97,0.330900243309002,0.83698296836983
"140",205,329,0.321167883211679,0.812652068126521
"141",233,12,0.523114355231144,0.111922141119221
"142",339,264,0.267639902676399,0.965936739659367
"143",132,80,0.233576642335766,0.961070559610706
"144",304,353,0.647201946472019,0.0364963503649635
"145",251,43,0.571776155717762,0.0608272506082725
"146",389,271,0.418491484184915,0.214111922141119
"147",175,329,0.321167883211679,0.812652068126521
"148",212,11,0.394160583941606,0.749391727493917
"149",397,300,0.501216545012166,0.124087591240876
"150",169,262,0.447688564476886,0.184914841849148
"151",373,254,0.435523114355231,0.221411192214112
"152",369,172,0.430656934306569,0.749391727493917
"153",68,312,0.262773722627737,0.975669099756691
"154",296,325,0.532846715328467,0.0875912408759124
"155",104,369,0.304136253041363,0.827250608272506
"156",114,400,0.639902676399027,0.0389294403892944
"157",303,265,0.669099756690998,0.0170316301703163
"158",165,170,0.267639902676399,0.968369829683698
"159",153,69,0.391727493917275,0.771289537712895
"160",376,151,0.301703163017032,0.834549878345499
"161",251,15,0.54014598540146,0.128953771289538
"162",402,296,0.272506082725061,0.953771289537713
"163",90,211,0.294403892944039,0.86374695863747
"164",73,40,0.484184914841849,0.175182481751825
"165",323,343,0.272506082725061,0.94647201946472
"166",289,135,0.209245742092457,0.987834549878346
"167",209,27,0.347931873479319,0.793187347931874
"168",33,2,0.720194647201946,0.0024330900243309
"169",276,287,0.211678832116788,0.978102189781022
"170",295,389,0.437956204379562,0.131386861313869
"171",124,49,0.5669099756691,0.072992700729927
"172",21,125,0.306569343065693,0.878345498783455
"173",21,394,0.591240875912409,0.0437956204379562
"174",86,45,0.328467153284672,0.854014598540146
"175",262,246,0.686131386861314,0.0170316301703163
"176",174,366,0.464720194647202,0.158150851581509
"177",284,144,0.474452554744526,0.194647201946472
"178",278,379,0.591240875912409,0.0705596107055961
"179",311,346,0.335766423357664,0.827250608272506
"180",33,37,0.430656934306569,0.211678832116788
"181",407,24,0.284671532846715,0.936739659367397
"182",346,392,0.294403892944039,0.89294403892944
"183",310,40,0.484184914841849,0.175182481751825
"184",181,118,0.64963503649635,0.024330900243309
"185",145,117,0.306569343065693,0.856447688564477
"186",24,160,0.423357664233577,0.725060827250608
"187",33,141,0.457420924574209,0.150851581508516
"188",118,209,0.279805352798054,0.958637469586375
"189",240,54,0.515815085158151,0.1338199513382
"190",110,352,0.535279805352798,0.116788321167883
"191",36,333,0.420924574209246,0.194647201946472
"192",62,34,0.588807785888078,0.0705596107055961
"193",173,101,0.35036496350365,0.832116788321168
"194",126,151,0.301703163017032,0.834549878345499
"195",195,354,0.469586374695864,0.160583941605839
"196",250,405,0.257907542579075,0.961070559610706
"197",133,342,0.238442822384428,0.965936739659367
"198",373,330,0.411192214111922,0.751824817518248
"199",180,269,0.744525547445255,0.0097323600973236
"200",315,8,0.67639902676399,0.0170316301703163
"201",274,155,0.384428223844282,0.805352798053528
"202",189,23,0.435523114355231,0.192214111922141
"203",360,82,0.503649635036496,0.175182481751825
"204",137,213,0.248175182481752,0.980535279805353
"205",88,353,0.647201946472019,0.0364963503649635
"206",65,223,0.608272506082725,0.048661800486618
"207",52,198,0.581508515815085,0.048661800486618
"208",34,233,0.627737226277372,0.0389294403892944
"209",143,172,0.430656934306569,0.749391727493917
"210",196,29,0.357664233576642,0.754257907542579
"211",55,4,0.333333333333333,0.815085158150852
"212",2,280,0.316301703163017,0.834549878345499
"213",83,80,0.233576642335766,0.961070559610706
"214",257,68,0.362530413625304,0.795620437956204
"215",40,196,0.289537712895377,1
"216",140,180,0.333333333333333,0.829683698296837
"217",204,217,0.481751824817518,0.153284671532847
"218",139,366,0.464720194647202,0.158150851581509
"219",377,67,0.282238442822384,0.953771289537713
"220",291,206,0.311435523114355,0.819951338199513
"221",51,402,0.311435523114355,0.849148418491484
"222",283,83,0.527980535279805,0.1338199513382
"223",286,36,0.467153284671533,0.138686131386861
"224",117,376,0.360097323600973,0.878345498783455
"225",142,359,0.615571776155718,0.0462287104622871
"226",223,284,0.498783454987835,0.13625304136253
"227",182,197,0.287104622871046,0.841849148418491
"228",310,66,0.347931873479319,0.744525547445255
"229",116,155,0.384428223844282,0.805352798053528
"230",331,336,0.530413625304136,0.0997566909975669
"231",408,155,0.384428223844282,0.805352798053528
"232",60,287,0.211678832116788,0.978102189781022
"233",342,83,0.527980535279805,0.1338199513382
"234",367,45,0.328467153284672,0.854014598540146
"235",258,221,0.673965936739659,0.0267639902676399
"236",103,307,0.51338199513382,0.124087591240876
"237",326,192,0.223844282238443,0.987834549878346
"238",388,266,0.647201946472019,0.0218978102189781
"239",206,176,0.352798053527981,0.795620437956204
"240",38,217,0.481751824817518,0.153284671532847
"241",283,404,0.211678832116788,0.987834549878346
"242",171,399,0.318734793187348,0.83698296836983
"243",68,144,0.474452554744526,0.194647201946472
"244",118,344,0.226277372262774,0.982968369829684
"245",321,161,0.681265206812652,0.0170316301703163
"246",25,212,0.347931873479319,0.800486618004866
"247",230,108,0.294403892944039,0.961070559610706
"248",264,79,0.569343065693431,0.0851581508515815
"249",164,344,0.226277372262774,0.982968369829684
"250",250,177,0.299270072992701,0.844282238442822
"251",2,292,0.384428223844282,0.744525547445255
"252",161,299,0.462287104622871,0.16301703163017
"253",223,303,0.255474452554745,0.97323600973236
"254",330,344,0.226277372262774,0.982968369829684
"255",407,368,0.403892944038929,0.727493917274939
"256",345,394,0.591240875912409,0.0437956204379562
"257",248,165,0.462287104622871,0.150851581508516
"258",386,132,0.586374695863747,0.0827250608272506
"259",229,28,0.32360097323601,0.827250608272506
"260",303,254,0.435523114355231,0.221411192214112
"261",63,190,0.637469586374696,0.0413625304136253
"262",370,349,0.32360097323601,0.841849148418491
"263",305,228,0.425790754257908,0.717761557177616
"264",151,147,0.454987834549878,0.155717761557178
"265",354,396,0.625304136253041,0.0389294403892944
"266",159,234,0.231143552311436,0.985401459854015
"267",291,28,0.32360097323601,0.827250608272506
"268",296,357,0.304136253041363,0.873479318734793
"269",358,321,0.630170316301703,0.0389294403892944
"270",388,170,0.267639902676399,0.968369829683698
"271",185,164,0.374695863746959,0.790754257907543
"272",399,290,0.659367396593674,0.0364963503649635
"273",67,321,0.630170316301703,0.0389294403892944
"274",375,59,0.491484184914842,0.150851581508516
"275",228,198,0.581508515815085,0.048661800486618
"276",126,50,0.389294403892944,0.759124087591241
"277",99,312,0.262773722627737,0.975669099756691
"278",264,162,0.596107055961071,0.0608272506082725
"279",10,400,0.639902676399027,0.0389294403892944
"280",342,258,0.51338199513382,0.126520681265207
"281",168,350,0.586374695863747,0.0583941605839416
"282",138,290,0.659367396593674,0.0364963503649635
"283",50,293,0.27007299270073,0.958637469586375
"284",174,399,0.318734793187348,0.83698296836983
