"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",399,150,0.267639902676399,0.875912408759124
"2",35,271,0.639902676399027,0.0656934306569343
"3",359,72,0.70316301703163,0.0291970802919708
"4",135,377,0.374695863746959,0.785888077858881
"5",92,70,0.493917274939173,0.138686131386861
"6",165,143,0.267639902676399,0.846715328467153
"7",30,64,0.67639902676399,0.0340632603406326
"8",2,106,0.352798053527981,0.78345498783455
"9",57,148,0.535279805352798,0.116788321167883
"10",79,55,0.635036496350365,0.0681265206812652
"11",253,51,0.464720194647202,0.187347931873479
"12",349,349,0.4330900243309,0.727493917274939
"13",207,14,0.588807785888078,0.0705596107055961
"14",303,381,0.598540145985402,0.0754257907542579
"15",360,20,0.401459854014599,0.722627737226277
"16",323,210,0.328467153284672,0.827250608272506
"17",404,98,0.24330900243309,0.975669099756691
"18",38,367,0.318734793187348,0.832116788321168
"19",244,39,0.257907542579075,0.929440389294404
"20",19,301,0.253041362530414,0.939172749391727
"21",41,137,0.501216545012166,0.177615571776156
"22",392,189,0.29683698296837,0.841849148418491
"23",211,55,0.635036496350365,0.0681265206812652
"24",170,263,0.408759124087591,0.722627737226277
"25",387,389,0.639902676399027,0.0632603406326034
"26",45,52,0.576642335766423,0.0900243309002433
"27",231,331,0.287104622871046,0.873479318734793
"28",51,143,0.267639902676399,0.846715328467153
"29",94,71,0.476885644768856,0.170316301703163
"30",174,50,0.391727493917275,0.720194647201946
"31",59,394,0.715328467153285,0.0024330900243309
"32",197,250,0.236009732360097,0.958637469586375
"33",22,179,0.321167883211679,0.81021897810219
"34",105,86,0.255474452554745,0.922141119221411
"35",59,372,0.48661800486618,0.201946472019465
"36",198,221,0.579075425790754,0.0827250608272506
"37",201,410,0.282238442822384,0.841849148418491
"38",248,264,0.557177615571776,0.0997566909975669
"39",257,310,0.260340632603406,0.902676399026764
"40",159,65,0.710462287104623,0.0218978102189781
"41",116,199,0.304136253041363,0.880778588807786
"42",22,335,0.491484184914842,0.175182481751825
"43",52,239,0.688564476885645,0.0267639902676399
"44",332,133,0.588807785888078,0.0948905109489051
"45",220,64,0.67639902676399,0.0340632603406326
"46",363,344,0.450121654501217,0.121654501216545
"47",194,266,0.693430656934307,0.0267639902676399
"48",66,262,0.717761557177616,0.0121654501216545
"49",1,200,0.287104622871046,0.849148418491484
"50",265,396,0.367396593673966,0.72992700729927
"51",46,63,0.717761557177616,0.0121654501216545
"52",348,60,0.416058394160584,0.751824817518248
"53",66,354,0.394160583941606,0.737226277372263
"54",238,392,0.659367396593674,0.0559610705596107
"55",259,287,0.304136253041363,0.815085158150852
"56",356,196,0.326034063260341,0.824817518248175
"57",370,337,0.608272506082725,0.072992700729927
"58",121,370,0.218978102189781,0.978102189781022
"59",258,248,0.496350364963504,0.158150851581509
"60",54,282,0.267639902676399,0.871046228710462
"61",181,325,0.411192214111922,0.204379562043796
"62",186,251,0.489051094890511,0.160583941605839
"63",70,291,0.260340632603406,0.927007299270073
"64",244,355,0.503649635036496,0.13625304136253
"65",398,176,0.272506082725061,0.873479318734793
"66",334,389,0.639902676399027,0.0632603406326034
"67",24,346,0.272506082725061,0.861313868613139
"68",227,245,0.343065693430657,0.771289537712895
"69",142,378,0.408759124087591,0.788321167883212
"70",253,210,0.328467153284672,0.827250608272506
"71",342,89,0.282238442822384,0.868613138686131
"72",72,142,0.272506082725061,0.8661800486618
"73",308,184,0.309002433090024,0.829683698296837
"74",194,78,0.498783454987835,0.175182481751825
"75",309,340,0.338199513381995,0.790754257907543
"76",163,334,0.304136253041363,0.81021897810219
"77",177,6,0.309002433090024,0.880778588807786
"78",112,331,0.287104622871046,0.873479318734793
"79",322,396,0.367396593673966,0.72992700729927
"80",398,49,0.564476885644769,0.0827250608272506
"81",10,212,0.231143552311436,0.936739659367397
"82",268,281,0.632603406326034,0.0705596107055961
"83",162,309,0.469586374695864,0.192214111922141
"84",280,234,0.321167883211679,0.832116788321168
"85",379,221,0.579075425790754,0.0827250608272506
"86",196,243,0.698296836982968,0.0170316301703163
"87",406,374,0.579075425790754,0.0875912408759124
"88",172,106,0.352798053527981,0.78345498783455
"89",28,122,0.228710462287105,0.987834549878346
"90",200,149,0.369829683698297,0.778588807785888
"91",58,300,0.527980535279805,0.148418491484185
"92",335,189,0.29683698296837,0.841849148418491
"93",16,99,0.452554744525547,0.223844282238443
"94",394,155,0.437956204379562,0.197080291970803
"95",275,357,0.489051094890511,0.165450121654501
"96",138,161,0.693430656934307,0.048661800486618
"97",261,200,0.287104622871046,0.849148418491484
"98",394,167,0.67639902676399,0.0510948905109489
"99",141,409,0.637469586374696,0.0705596107055961
"100",201,54,0.48661800486618,0.187347931873479
