"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",291,285,0.688564476885645,0.257907542579075
"2",180,115,0.600973236009732,0.294403892944039
"3",83,343,0.664233576642336,0.211678832116788
"4",315,260,0.846715328467153,0.0316301703163017
"5",211,93,0.523114355231144,0.328467153284672
"6",19,164,0.484184914841849,0.888077858880779
"7",287,358,0.605839416058394,0.318734793187348
"8",266,360,0.525547445255474,0.316301703163017
"9",18,147,0.800486618004866,0.0705596107055961
"10",45,77,0.552311435523114,0.321167883211679
"11",161,87,0.581508515815085,0.32360097323601
"12",111,349,0.776155717761557,0.102189781021898
"13",263,395,0.661800486618005,0.260340632603406
"14",32,280,0.67639902676399,0.221411192214112
"15",114,325,0.67639902676399,0.180048661800487
"16",278,389,0.693430656934307,0.294403892944039
"17",343,49,0.858880778588808,0.0170316301703163
"18",150,376,0.654501216545012,0.291970802919708
"19",31,92,0.678832116788321,0.240875912408759
"20",70,293,0.37712895377129,0.980535279805353
"21",253,274,0.435523114355231,0.907542579075426
"22",80,378,0.469586374695864,0.934306569343066
"23",292,328,0.822384428223844,0.0559610705596107
"24",346,69,0.822384428223844,0.0364963503649635
"25",127,173,0.798053527980535,0.0583941605839416
"26",267,111,0.839416058394161,0.0437956204379562
"27",237,356,0.562043795620438,0.326034063260341
"28",106,207,0.588807785888078,0.279805352798054
"29",133,340,0.391727493917275,0.970802919708029
"30",151,387,0.759124087591241,0.104622871046229
"31",147,242,0.768856447688564,0.0997566909975669
"32",168,214,0.462287104622871,0.897810218978102
"33",180,132,0.790754257907543,0.097323600973236
"34",254,175,0.411192214111922,0.936739659367397
"35",92,6,0.722627737226277,0.16301703163017
"36",258,198,0.800486618004866,0.0875912408759124
"37",50,205,0.62043795620438,0.21654501216545
"38",288,210,0.644768856447689,0.233576642335766
"39",154,89,0.766423357664234,0.104622871046229
"40",189,1,0.59367396593674,0.29683698296837
"41",149,33,0.384428223844282,0.987834549878346
"42",343,201,0.776155717761557,0.143552311435523
"43",115,346,0.501216545012166,0.333333333333333
"44",39,265,0.681265206812652,0.177615571776156
"45",23,280,0.67639902676399,0.221411192214112
"46",288,340,0.391727493917275,0.970802919708029
"47",392,35,0.661800486618005,0.262773722627737
"48",188,113,0.583941605839416,0.321167883211679
"49",293,173,0.798053527980535,0.0583941605839416
"50",330,114,0.734793187347932,0.143552311435523
"51",409,363,0.476885644768856,0.343065693430657
"52",314,28,0.596107055961071,0.306569343065693
"53",263,365,0.472019464720195,0.929440389294404
"54",123,398,0.768856447688564,0.124087591240876
"55",148,165,0.642335766423358,0.209245742092457
"56",175,5,0.834549878345499,0.0559610705596107
"57",294,193,0.532846715328467,0.32360097323601
"58",216,120,0.725060827250608,0.102189781021898
"59",210,260,0.846715328467153,0.0316301703163017
"60",110,295,0.739659367396594,0.116788321167883
"61",238,218,0.574209245742092,0.306569343065693
"62",269,175,0.411192214111922,0.936739659367397
"63",81,53,0.790754257907543,0.097323600973236
"64",241,348,0.742092457420925,0.0681265206812652
"65",53,21,0.469586374695864,0.944038929440389
"66",16,391,0.549878345498783,0.289537712895377
"67",298,250,0.54014598540146,0.345498783454988
"68",26,41,0.420924574209246,0.953771289537713
"69",56,117,0.749391727493917,0.138686131386861
"70",388,338,0.396593673965937,0.987834549878346
"71",209,246,0.37712895377129,0.992700729927007
"72",409,286,0.369829683698297,0.987834549878346
"73",272,26,0.625304136253041,0.231143552311436
"74",31,121,0.588807785888078,0.306569343065693
"75",397,134,0.793187347931874,0.097323600973236
"76",61,122,0.396593673965937,0.963503649635037
"77",270,277,0.700729927007299,0.184914841849148
"78",393,319,0.635036496350365,0.228710462287105
"79",268,334,0.725060827250608,0.228710462287105
"80",393,229,0.428223844282238,0.912408759124088
"81",223,326,0.367396593673966,0.980535279805353
"82",8,238,0.40632603406326,0.970802919708029
"83",140,322,0.425790754257908,0.941605839416058
"84",193,30,0.48661800486618,0.941605839416058
"85",224,251,0.357664233576642,1
"86",8,351,0.630170316301703,0.304136253041363
"87",1,303,0.695863746958638,0.160583941605839
"88",280,142,0.802919708029197,0.097323600973236
"89",221,275,0.501216545012166,0.909975669099757
"90",265,325,0.67639902676399,0.180048661800487
"91",284,58,0.549878345498783,0.345498783454988
"92",283,254,0.389294403892944,0.953771289537713
"93",340,336,0.744525547445255,0.119221411192214
"94",312,96,0.62287104622871,0.250608272506083
"95",20,372,0.715328467153285,0.121654501216545
"96",121,87,0.581508515815085,0.32360097323601
"97",29,359,0.59367396593674,0.223844282238443
"98",331,164,0.484184914841849,0.888077858880779
"99",128,344,0.445255474452555,0.917274939172749
"100",275,24,0.481751824817518,0.917274939172749
"101",208,170,0.501216545012166,0.326034063260341
"102",396,267,0.457420924574209,0.922141119221411
"103",260,146,0.625304136253041,0.260340632603406
"104",4,96,0.62287104622871,0.250608272506083
"105",11,330,0.683698296836983,0.182481751824818
"106",354,49,0.858880778588808,0.0170316301703163
"107",5,274,0.435523114355231,0.907542579075426
"108",253,383,0.793187347931874,0.0681265206812652
"109",345,320,0.654501216545012,0.24330900243309
"110",145,47,0.771289537712895,0.0462287104622871
"111",361,354,0.564476885644769,0.311435523114355
"112",30,250,0.54014598540146,0.345498783454988
"113",80,284,0.430656934306569,0.907542579075426
"114",47,47,0.771289537712895,0.0462287104622871
"115",34,156,0.527980535279805,0.32360097323601
"116",133,234,0.712895377128954,0.175182481751825
"117",38,333,0.630170316301703,0.299270072992701
"118",324,402,0.778588807785888,0.0924574209245742
"119",183,281,0.683698296836983,0.199513381995134
"120",405,364,0.627737226277372,0.248175182481752
"121",257,341,0.62287104622871,0.29683698296837
"122",8,145,0.613138686131387,0.309002433090024
"123",221,35,0.661800486618005,0.262773722627737
"124",228,68,0.493917274939173,0.89294403892944
"125",212,174,0.591240875912409,0.279805352798054
"126",189,195,0.613138686131387,0.289537712895377
"127",108,385,0.496350364963504,0.897810218978102
"128",18,51,0.766423357664234,0.124087591240876
"129",32,220,0.81021897810219,0.0778588807785888
"130",106,104,0.722627737226277,0.175182481751825
"131",148,360,0.525547445255474,0.316301703163017
"132",78,164,0.484184914841849,0.888077858880779
"133",332,19,0.362530413625304,0.992700729927007
"134",188,221,0.401459854014599,0.948905109489051
"135",41,402,0.778588807785888,0.0924574209245742
"136",113,19,0.362530413625304,0.992700729927007
"137",223,93,0.523114355231144,0.328467153284672
"138",133,90,0.472019464720195,0.900243309002433
"139",73,308,0.795620437956204,0.0778588807785888
"140",196,46,0.705596107055961,0.228710462287105
"141",222,144,0.554744525547445,0.306569343065693
"142",66,163,0.542579075425791,0.301703163017032
"143",107,332,0.576642335766423,0.231143552311436
"144",72,388,0.357664233576642,0.982968369829684
"145",20,348,0.742092457420925,0.0681265206812652
"146",171,249,0.549878345498783,0.287104622871046
"147",291,398,0.768856447688564,0.124087591240876
"148",257,270,0.637469586374696,0.267639902676399
"149",218,202,0.768856447688564,0.104622871046229
"150",168,105,0.827250608272506,0.0364963503649635
"151",89,270,0.637469586374696,0.267639902676399
"152",92,25,0.423357664233577,0.900243309002433
"153",163,308,0.795620437956204,0.0778588807785888
"154",401,55,0.746958637469586,0.160583941605839
"155",340,42,0.469586374695864,0.343065693430657
"156",190,146,0.625304136253041,0.260340632603406
"157",61,386,0.420924574209246,0.914841849148418
"158",121,283,0.4330900243309,0.958637469586375
"159",271,385,0.496350364963504,0.897810218978102
"160",16,248,0.467153284671533,0.900243309002433
"161",57,398,0.768856447688564,0.124087591240876
"162",93,193,0.532846715328467,0.32360097323601
"163",350,89,0.766423357664234,0.104622871046229
"164",305,209,0.603406326034063,0.16301703163017
"165",281,2,0.78345498783455,0.104622871046229
"166",224,321,0.547445255474453,0.318734793187348
"167",146,35,0.661800486618005,0.262773722627737
"168",153,303,0.695863746958638,0.160583941605839
"169",356,296,0.37712895377129,0.970802919708029
"170",186,395,0.661800486618005,0.260340632603406
"171",333,371,0.710462287104623,0.172749391727494
"172",316,66,0.78345498783455,0.104622871046229
"173",140,129,0.861313868613139,0.0145985401459854
"174",84,117,0.749391727493917,0.138686131386861
"175",197,113,0.583941605839416,0.321167883211679
"176",21,146,0.625304136253041,0.260340632603406
"177",9,286,0.369829683698297,0.987834549878346
"178",362,250,0.54014598540146,0.345498783454988
"179",197,88,0.763990267639903,0.131386861313869
"180",409,256,0.771289537712895,0.0900243309002433
"181",367,177,0.559610705596107,0.335766423357664
"182",147,29,0.746958637469586,0.114355231143552
"183",370,341,0.62287104622871,0.29683698296837
"184",248,127,0.669099756690998,0.245742092457421
"185",274,28,0.596107055961071,0.306569343065693
"186",324,401,0.841849148418491,0.0072992700729927
"187",399,234,0.712895377128954,0.175182481751825
"188",188,73,0.635036496350365,0.29683698296837
"189",192,48,0.457420924574209,0.91970802919708
"190",134,15,0.503649635036496,0.328467153284672
"191",381,356,0.562043795620438,0.326034063260341
"192",46,373,0.437956204379562,0.89294403892944
"193",150,2,0.78345498783455,0.104622871046229
"194",405,358,0.605839416058394,0.318734793187348
"195",235,104,0.722627737226277,0.175182481751825
"196",116,47,0.771289537712895,0.0462287104622871
"197",47,9,0.493917274939173,0.897810218978102
"198",289,293,0.37712895377129,0.980535279805353
"199",396,305,0.588807785888078,0.287104622871046
"200",167,31,0.5669099756691,0.326034063260341
"201",27,340,0.391727493917275,0.970802919708029
"202",255,175,0.411192214111922,0.936739659367397
"203",213,320,0.654501216545012,0.24330900243309
"204",184,132,0.790754257907543,0.097323600973236
"205",219,187,0.844282238442822,0.0462287104622871
"206",79,400,0.64963503649635,0.24330900243309
"207",262,9,0.493917274939173,0.897810218978102
"208",113,178,0.527980535279805,0.29683698296837
"209",355,50,0.841849148418491,0.0413625304136253
"210",179,113,0.583941605839416,0.321167883211679
"211",206,355,0.600973236009732,0.262773722627737
"212",275,340,0.391727493917275,0.970802919708029
"213",51,175,0.411192214111922,0.936739659367397
"214",7,111,0.839416058394161,0.0437956204379562
"215",378,264,0.525547445255474,0.895377128953771
"216",127,263,0.841849148418491,0.0170316301703163
"217",35,30,0.48661800486618,0.941605839416058
"218",215,360,0.525547445255474,0.316301703163017
"219",3,57,0.70316301703163,0.16301703163017
"220",355,384,0.693430656934307,0.35036496350365
"221",353,68,0.493917274939173,0.89294403892944
"222",50,38,0.428223844282238,0.936739659367397
"223",85,125,0.795620437956204,0.0656934306569343
"224",164,5,0.834549878345499,0.0559610705596107
"225",13,394,0.827250608272506,0.0656934306569343
"226",106,11,0.430656934306569,0.914841849148418
"227",279,179,0.442822384428224,0.980535279805353
"228",25,95,0.734793187347932,0.13625304136253
"229",204,205,0.62043795620438,0.21654501216545
"230",78,174,0.591240875912409,0.279805352798054
"231",53,32,0.362530413625304,0.987834549878346
"232",107,409,0.656934306569343,0.253041362530414
"233",155,112,0.761557177615572,0.138686131386861
"234",71,53,0.790754257907543,0.097323600973236
"235",321,324,0.793187347931874,0.102189781021898
"236",357,12,0.537712895377129,0.900243309002433
"237",46,121,0.588807785888078,0.306569343065693
"238",393,58,0.549878345498783,0.345498783454988
"239",117,253,0.883211678832117,0.0097323600973236
"240",158,99,0.805352798053528,0.0802919708029197
"241",14,252,0.403892944038929,0.97323600973236
"242",166,292,0.442822384428224,0.992700729927007
"243",259,187,0.844282238442822,0.0462287104622871
"244",82,111,0.839416058394161,0.0437956204379562
"245",74,22,0.700729927007299,0.167883211678832
"246",224,147,0.800486618004866,0.0705596107055961
"247",51,142,0.802919708029197,0.097323600973236
"248",312,193,0.532846715328467,0.32360097323601
"249",98,195,0.613138686131387,0.289537712895377
"250",74,264,0.525547445255474,0.895377128953771
"251",291,204,0.763990267639903,0.097323600973236
"252",358,311,0.839416058394161,0.048661800486618
"253",130,326,0.367396593673966,0.980535279805353
"254",213,351,0.630170316301703,0.304136253041363
"255",255,220,0.81021897810219,0.0778588807785888
"256",382,284,0.430656934306569,0.907542579075426
"257",180,202,0.768856447688564,0.104622871046229
"258",389,97,0.812652068126521,0.0754257907542579
"259",65,1,0.59367396593674,0.29683698296837
"260",322,72,0.739659367396594,0.126520681265207
"261",361,381,0.778588807785888,0.0340632603406326
"262",194,326,0.367396593673966,0.980535279805353
"263",276,35,0.661800486618005,0.262773722627737
"264",38,33,0.384428223844282,0.987834549878346
"265",171,381,0.778588807785888,0.0340632603406326
"266",353,10,0.357664233576642,0.980535279805353
"267",113,43,0.5669099756691,0.294403892944039
"268",315,391,0.549878345498783,0.289537712895377
"269",239,180,0.64963503649635,0.27007299270073
"270",157,10,0.357664233576642,0.980535279805353
"271",20,22,0.700729927007299,0.167883211678832
"272",143,69,0.822384428223844,0.0364963503649635
"273",95,312,0.598540145985402,0.333333333333333
"274",2,79,0.727493917274939,0.143552311435523
"275",115,337,0.467153284671533,0.888077858880779
"276",169,249,0.549878345498783,0.287104622871046
"277",287,312,0.598540145985402,0.333333333333333
"278",400,176,0.367396593673966,0.990267639902676
"279",228,69,0.822384428223844,0.0364963503649635
"280",115,27,0.739659367396594,0.170316301703163
"281",89,22,0.700729927007299,0.167883211678832
"282",351,73,0.635036496350365,0.29683698296837
"283",334,215,0.62043795620438,0.223844282238443
"284",319,403,0.754257907542579,0.097323600973236
"285",90,251,0.357664233576642,1
"286",296,224,0.678832116788321,0.240875912408759
"287",221,117,0.749391727493917,0.138686131386861
"288",137,222,0.403892944038929,0.961070559610706
"289",14,107,0.659367396593674,0.233576642335766
"290",189,136,0.396593673965937,0.958637469586375
"291",219,406,0.364963503649635,1
"292",377,326,0.367396593673966,0.980535279805353
"293",405,288,0.352798053527981,0.963503649635037
"294",39,390,0.4330900243309,0.914841849148418
"295",290,94,0.586374695863747,0.282238442822384
"296",102,305,0.588807785888078,0.287104622871046
"297",102,268,0.681265206812652,0.16301703163017
"298",363,393,0.902676399026764,0.0024330900243309
"299",131,267,0.457420924574209,0.922141119221411
"300",345,5,0.834549878345499,0.0559610705596107
"301",39,243,0.834549878345499,0.0121654501216545
"302",119,198,0.800486618004866,0.0875912408759124
"303",18,326,0.367396593673966,0.980535279805353
"304",237,167,0.861313868613139,0.0145985401459854
"305",282,281,0.683698296836983,0.199513381995134
"306",72,24,0.481751824817518,0.917274939172749
"307",88,211,0.856447688564477,0.0048661800486618
"308",393,47,0.771289537712895,0.0462287104622871
"309",392,48,0.457420924574209,0.91970802919708
"310",323,255,0.369829683698297,0.97323600973236
"311",385,343,0.664233576642336,0.211678832116788
"312",176,164,0.484184914841849,0.888077858880779
"313",382,142,0.802919708029197,0.097323600973236
"314",42,212,0.771289537712895,0.126520681265207
"315",136,343,0.664233576642336,0.211678832116788
"316",263,386,0.420924574209246,0.914841849148418
"317",253,326,0.367396593673966,0.980535279805353
"318",406,282,0.484184914841849,0.934306569343066
"319",206,32,0.362530413625304,0.987834549878346
"320",118,104,0.722627737226277,0.175182481751825
"321",12,124,0.491484184914842,0.912408759124088
"322",362,228,0.401459854014599,0.961070559610706
"323",44,140,0.554744525547445,0.345498783454988
"324",136,135,0.340632603406326,0.980535279805353
"325",164,199,0.749391727493917,0.121654501216545
"326",171,34,0.442822384428224,0.944038929440389
"327",223,32,0.362530413625304,0.987834549878346
"328",235,209,0.603406326034063,0.16301703163017
"329",362,110,0.666666666666667,0.170316301703163
"330",410,119,0.659367396593674,0.184914841849148
"331",92,141,0.905109489051095,0.0462287104622871
"332",201,307,0.367396593673966,0.975669099756691
"333",49,217,0.644768856447689,0.289537712895377
"334",123,114,0.734793187347932,0.143552311435523
"335",199,358,0.605839416058394,0.318734793187348
"336",338,228,0.401459854014599,0.961070559610706
"337",176,19,0.362530413625304,0.992700729927007
"338",325,269,0.574209245742092,0.265206812652068
"339",55,402,0.778588807785888,0.0924574209245742
"340",21,274,0.435523114355231,0.907542579075426
"341",102,362,0.997566909975669,0.0024330900243309
"342",30,117,0.749391727493917,0.138686131386861
"343",214,303,0.695863746958638,0.160583941605839
"344",264,232,0.705596107055961,0.175182481751825
"345",320,41,0.420924574209246,0.953771289537713
"346",285,30,0.48661800486618,0.941605839416058
"347",347,397,0.771289537712895,0.0875912408759124
"348",122,135,0.340632603406326,0.980535279805353
"349",181,356,0.562043795620438,0.326034063260341
"350",227,239,0.450121654501217,0.902676399026764
"351",335,176,0.367396593673966,0.990267639902676
"352",309,33,0.384428223844282,0.987834549878346
"353",191,10,0.357664233576642,0.980535279805353
"354",8,185,0.59367396593674,0.328467153284672
"355",315,83,0.790754257907543,0.0900243309002433
"356",36,93,0.523114355231144,0.328467153284672
"357",261,187,0.844282238442822,0.0462287104622871
"358",106,48,0.457420924574209,0.91970802919708
"359",408,260,0.846715328467153,0.0316301703163017
"360",151,3,0.688564476885645,0.184914841849148
"361",377,9,0.493917274939173,0.897810218978102
"362",48,252,0.403892944038929,0.97323600973236
"363",93,58,0.549878345498783,0.345498783454988
"364",282,39,0.849148418491484,0.0681265206812652
"365",195,302,0.618004866180049,0.24330900243309
"366",62,6,0.722627737226277,0.16301703163017
"367",210,343,0.664233576642336,0.211678832116788
"368",261,152,0.902676399026764,0.143552311435523
"369",252,225,0.596107055961071,0.27007299270073
"370",271,407,0.81021897810219,0.0462287104622871
"371",128,71,0.666666666666667,0.192214111922141
"372",173,105,0.827250608272506,0.0364963503649635
"373",329,177,0.559610705596107,0.335766423357664
"374",176,279,0.372262773722628,0.978102189781022
"375",305,368,0.771289537712895,0.0462287104622871
"376",116,195,0.613138686131387,0.289537712895377
"377",396,11,0.430656934306569,0.914841849148418
"378",19,229,0.428223844282238,0.912408759124088
"379",136,96,0.62287104622871,0.250608272506083
"380",8,84,0.875912408759124,0.0145985401459854
"381",305,307,0.367396593673966,0.975669099756691
"382",253,247,0.416058394160584,0.929440389294404
