"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",215,38,0.18978102189781,0.956204379562044
"2",390,173,0.240875912408759,0.888077858880779
"3",176,264,0.37712895377129,0.708029197080292
"4",175,280,0.476885644768856,0.10705596107056
"5",388,44,0.523114355231144,0.104622871046229
"6",186,175,0.695863746958638,0.0024330900243309
"7",342,72,0.209245742092457,0.885644768856448
"8",71,269,0.462287104622871,0.180048661800487
"9",383,137,0.639902676399027,0.0267639902676399
"10",100,176,0.467153284671533,0.124087591240876
"11",135,357,0.21654501216545,0.941605839416058
"12",341,320,0.272506082725061,0.839416058394161
"13",268,118,0.576642335766423,0.111922141119221
"14",6,259,0.35036496350365,0.732360097323601
"15",337,16,0.262773722627737,0.817518248175182
"16",48,191,0.257907542579075,0.807785888077859
"17",42,341,0.391727493917275,0.768856447688564
"18",195,380,0.289537712895377,0.829683698296837
"19",96,290,0.542579075425791,0.104622871046229
"20",45,308,0.226277372262774,0.985401459854015
"21",59,191,0.257907542579075,0.807785888077859
"22",233,47,0.652068126520681,0.0024330900243309
"23",152,403,0.547445255474453,0.0948905109489051
"24",197,100,0.214111922141119,0.961070559610706
"25",233,68,0.318734793187348,0.75669099756691
"26",20,78,0.367396593673966,0.737226277372263
"27",61,179,0.564476885644769,0.0413625304136253
"28",335,379,0.21654501216545,0.953771289537713
"29",67,394,0.214111922141119,0.912408759124088
"30",29,168,0.642335766423358,0.0024330900243309
"31",74,111,0.479318734793187,0.150851581508516
"32",274,390,0.197080291970803,0.987834549878346
"33",198,6,0.664233576642336,0.0121654501216545
"34",280,276,0.345498783454988,0.744525547445255
"35",330,242,0.527980535279805,0.111922141119221
"36",321,12,0.27007299270073,0.807785888077859
"37",211,36,0.571776155717762,0.0608272506082725
"38",90,69,0.384428223844282,0.712895377128954
"39",74,120,0.430656934306569,0.194647201946472
"40",103,129,0.644768856447689,0.0097323600973236
"41",21,5,0.618004866180049,0.0194647201946472
"42",303,28,0.311435523114355,0.766423357664234
"43",173,167,0.481751824817518,0.116788321167883
"44",281,124,0.445255474452555,0.177615571776156
"45",301,305,0.291970802919708,0.822384428223844
"46",207,334,0.265206812652068,0.897810218978102
"47",319,247,0.250608272506083,0.815085158150852
"48",8,239,0.554744525547445,0.0437956204379562
"49",186,352,0.211678832116788,0.917274939172749
"50",129,401,0.381995133819951,0.705596107055961
"51",218,9,0.306569343065693,0.817518248175182
"52",158,165,0.4330900243309,0.131386861313869
"53",407,315,0.333333333333333,0.776155717761557
"54",269,183,0.496350364963504,0.102189781021898
"55",208,341,0.391727493917275,0.768856447688564
"56",279,186,0.586374695863747,0.0656934306569343
"57",175,334,0.265206812652068,0.897810218978102
"58",312,41,0.360097323600973,0.744525547445255
"59",199,81,0.257907542579075,0.875912408759124
"60",168,120,0.430656934306569,0.194647201946472
"61",41,187,0.501216545012166,0.155717761557178
"62",401,145,0.204379562043796,0.94647201946472
