"","bootstrap_train","bootstrap_test","p_values","p0_values"
"1",218,309,0.18978102189781,1
"2",316,410,0.484184914841849,0.18978102189781
"3",265,166,0.37956204379562,0.761557177615572
"4",355,51,0.45985401459854,0.664233576642336
"5",152,44,0.673965936739659,0.0267639902676399
"6",357,398,0.571776155717762,0.111922141119221
"7",71,71,0.240875912408759,0.929440389294404
"8",323,380,0.664233576642336,0.0437956204379562
"9",72,207,0.647201946472019,0.0267639902676399
"10",10,156,0.291970802919708,0.854014598540146
"11",362,163,0.537712895377129,0.121654501216545
"12",147,325,0.291970802919708,0.873479318734793
"13",380,349,0.476885644768856,0.712895377128954
"14",107,273,0.24330900243309,0.936739659367397
"15",76,309,0.18978102189781,1
"16",109,148,0.223844282238443,0.941605839416058
"17",50,3,0.527980535279805,0.671532846715328
"18",258,261,0.294403892944039,0.868613138686131
"19",24,397,0.535279805352798,0.138686131386861
"20",325,31,0.673965936739659,0.0097323600973236
"21",178,130,0.411192214111922,0.754257907542579
"22",70,53,0.306569343065693,0.885644768856448
"23",262,193,0.625304136253041,0.0316301703163017
"24",133,176,0.381995133819951,0.793187347931874
"25",60,34,0.669099756690998,0.0097323600973236
"26",96,238,0.557177615571776,0.158150851581509
"27",271,229,0.313868613138686,0.854014598540146
"28",260,96,0.411192214111922,0.790754257907543
"29",39,217,0.45985401459854,0.180048661800487
"30",129,362,0.257907542579075,0.912408759124088
"31",277,134,0.476885644768856,0.705596107055961
"32",374,185,0.29683698296837,0.829683698296837
"33",113,215,0.579075425790754,0.0997566909975669
"34",186,165,0.452554744525547,0.673965936739659
"35",142,199,0.464720194647202,0.693430656934307
"36",285,409,0.639902676399027,0.0413625304136253
"37",281,265,0.345498783454988,0.829683698296837
"38",195,366,0.289537712895377,0.895377128953771
"39",164,82,0.610705596107056,0.126520681265207
"40",232,348,0.564476885644769,0.148418491484185
"41",408,345,0.24330900243309,0.944038929440389
"42",127,210,0.498783454987835,0.710462287104623
"43",198,261,0.294403892944039,0.868613138686131
"44",272,363,0.523114355231144,0.116788321167883
"45",90,12,0.508515815085158,0.182481751824818
"46",8,20,0.673965936739659,0.0462287104622871
"47",40,352,0.260340632603406,0.909975669099757
"48",105,343,0.24330900243309,0.888077858880779
"49",168,116,0.625304136253041,0.0462287104622871
"50",63,288,0.45985401459854,0.70316301703163
"51",209,211,0.574209245742092,0.0656934306569343
"52",335,178,0.515815085158151,0.683698296836983
"53",310,333,0.510948905109489,0.666666666666667
"54",159,7,0.508515815085158,0.155717761557178
"55",386,35,0.309002433090024,0.841849148418491
"56",255,149,0.352798053527981,0.829683698296837
"57",60,160,0.527980535279805,0.138686131386861
"58",98,368,0.605839416058394,0.0632603406326034
"59",317,93,0.369829683698297,0.807785888077859
"60",308,385,0.326034063260341,0.858880778588808
"61",223,131,0.24330900243309,0.902676399026764
"62",42,161,0.535279805352798,0.126520681265207
"63",11,367,0.318734793187348,0.817518248175182
"64",242,406,0.559610705596107,0.0632603406326034
"65",6,146,0.491484184914842,0.717761557177616
"66",356,402,0.294403892944039,0.873479318734793
"67",169,166,0.37956204379562,0.761557177615572
"68",193,135,0.610705596107056,0.0681265206812652
"69",365,172,0.586374695863747,0.0875912408759124
"70",306,51,0.45985401459854,0.664233576642336
"71",181,304,0.211678832116788,0.958637469586375
"72",295,237,0.581508515815085,0.0681265206812652
"73",380,347,0.549878345498783,0.180048661800487
"74",325,40,0.59367396593674,0.0437956204379562
"75",48,368,0.605839416058394,0.0632603406326034
"76",399,399,0.184914841849148,0.987834549878346
"77",136,259,0.462287104622871,0.678832116788321
"78",205,366,0.289537712895377,0.895377128953771
"79",177,397,0.535279805352798,0.138686131386861
"80",312,124,0.489051094890511,0.712895377128954
"81",281,333,0.510948905109489,0.666666666666667
"82",193,357,0.403892944038929,0.790754257907543
"83",248,47,0.37956204379562,0.766423357664234
"84",305,234,0.360097323600973,0.849148418491484
"85",403,258,0.625304136253041,0.0462287104622871
"86",248,311,0.476885644768856,0.751824817518248
"87",297,353,0.236009732360097,0.953771289537713
"88",335,60,0.211678832116788,0.978102189781022
"89",251,193,0.625304136253041,0.0316301703163017
"90",309,409,0.639902676399027,0.0413625304136253
"91",295,20,0.673965936739659,0.0462287104622871
"92",314,268,0.420924574209246,0.78345498783455
"93",228,408,0.221411192214112,0.958637469586375
"94",125,286,0.586374695863747,0.0948905109489051
"95",50,72,0.45985401459854,0.744525547445255
